"treatKey","cowKey","treatDate","treatType","VF","reason","diseaseKey","comment","Cost","WitholdingPeriod"
"621","205","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"623","206","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"624","206","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"625","206","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"626","206","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"627","207","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"628","207","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"629","207","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"630","207","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"634","208","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"635","208","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"636","208","1992-04-10 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"637","208","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"638","208","1992-08-09 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"639","208","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"640","209","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"641","209","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"642","209","1993-12-06 00:00:00","T_ANTB","FARMER","PENSA","","","",""
"643","209","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"644","209","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"645","209","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"647","210","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"648","210","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"649","210","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"650","210","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"652","211","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"653","211","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"654","211","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"655","211","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"663","212","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"664","212","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"665","212","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"666","212","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"677","213","1993-04-03 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"678","213","1993-06-22 00:00:00","T_HORM","VET","PROSTA","","","",""
"679","213","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"680","213","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"681","213","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"682","213","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"683","213","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"685","214","1993-05-17 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"686","214","1993-06-03 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"687","214","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"688","214","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"689","214","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"690","214","1992-05-22 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"691","214","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"692","214","1992-01-31 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"695","215","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"696","215","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"697","215","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"703","216","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"704","216","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"705","216","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"706","216","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"707","216","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
