psmKey,cowKey,psmCalvDate,psmDate,comment
514,206,25/04/93,1/06/93,
515,206,28/04/92,1/06/92,
516,206,7/03/91,1/06/91,
518,207,11/03/93,1/06/93,
519,207,4/03/92,1/06/92,
520,207,27/03/91,1/06/91,
522,208,17/05/93,1/06/93,
523,208,31/03/92,1/06/92,
524,208,30/04/91,1/06/91,
526,209,5/03/93,1/06/93,
527,209,18/03/92,1/06/92,
528,209,16/04/91,1/06/91,
532,210,14/03/93,1/06/93,
533,210,10/03/92,1/06/92,
534,210,,4/06/91,
536,211,3/05/93,1/06/93,
537,211,24/02/92,1/06/92,
538,211,18/03/91,1/06/91,
542,212,12/05/93,1/06/93,
543,212,25/04/92,1/06/92,
544,212,18/04/91,1/06/91,
548,213,27/03/93,1/06/93,
549,213,10/03/92,1/06/92,
550,213,11/03/91,1/06/91,
552,214,12/05/93,1/06/93,
553,214,17/05/92,1/06/92,
554,214,5/03/91,1/06/91,
557,215,6/05/93,1/06/93,
558,215,17/04/92,1/06/92,
559,215,,1/06/91,
564,216,22/03/93,1/06/93,
565,216,13/03/92,1/06/92,
566,216,14/03/91,1/06/91,
570,217,23/03/93,1/06/93,
571,217,15/03/92,1/06/92,
572,217,15/03/91,1/06/91,
574,218,18/05/93,1/06/93,
575,218,5/03/92,1/06/92,
576,218,27/03/91,1/06/91,
577,219,,1/06/93,
580,220,15/03/93,1/06/93,
581,220,13/03/92,1/06/92,
582,220,20/03/91,1/06/91,
585,221,20/03/93,1/06/93,
586,221,12/05/92,1/06/92,
587,221,,4/06/91,
590,222,21/03/93,1/06/93,
591,222,11/05/92,1/06/92,
592,222,21/03/91,1/06/91,
595,223,18/03/93,1/06/93,
596,223,,1/06/92,
598,224,3/04/93,1/06/93,
599,224,19/03/92,1/06/92,
600,224,10/03/91,1/06/91,
603,225,21/04/93,1/06/93,
604,225,,1/06/92,
608,226,11/03/93,1/06/93,
609,226,14/09/91,1/06/92,
610,226,,4/06/91,
615,227,24/03/93,1/06/93,
616,227,,1/06/92,
618,228,6/05/93,1/06/93,
619,228,26/03/92,1/06/92,
620,228,,4/06/91,
622,229,1/04/93,1/06/93,
623,229,21/03/92,1/06/92,
624,229,7/04/91,1/06/91,
626,230,2/04/93,1/06/93,
627,230,3/04/92,1/06/92,
628,230,22/03/91,1/06/91,
631,231,,1/06/93,
633,232,,1/06/93,
637,233,31/03/93,1/06/93,
638,233,,1/06/92,
640,234,2/04/93,1/06/93,
641,234,24/03/92,1/06/92,
642,234,20/03/91,1/06/91,
647,236,19/03/93,1/06/93,
648,236,,1/06/92,
650,237,27/04/93,1/06/93,
651,237,9/03/92,1/06/92,
652,237,24/03/91,1/06/91,
654,238,22/03/93,1/06/93,
655,238,3/03/92,1/06/92,
656,238,,4/06/91,
658,239,19/03/93,1/06/93,
659,239,14/03/92,1/06/92,
660,239,18/03/91,1/06/91,
662,240,25/03/93,1/06/93,
663,240,31/03/92,1/06/92,
664,240,2/03/91,1/06/91,
667,241,9/04/93,1/06/93,
668,241,6/05/92,1/06/92,
669,241,28/02/91,1/06/91,
671,242,,1/06/93,
674,243,,1/06/93,
678,244,18/04/93,1/06/93,
679,244,15/03/92,1/06/92,
680,244,4/04/91,1/06/91,
682,245,27/03/93,1/06/93,
683,245,5/03/92,1/06/92,
684,245,28/03/91,1/06/91,
687,246,,1/06/93,
690,247,,1/06/93,
692,248,8/05/93,1/06/93,
693,248,10/04/92,1/06/92,
694,248,12/03/91,1/06/91,
696,249,3/03/93,1/06/93,
697,249,3/03/92,1/06/92,
698,249,,4/06/91,
700,250,26/04/93,1/06/93,
701,250,7/03/92,1/06/92,
702,250,,4/06/91,
704,251,27/03/93,1/06/93,
705,251,7/04/92,1/06/92,
706,251,20/03/91,1/06/91,
709,252,,1/06/93,
711,253,28/03/93,1/06/93,
712,253,,1/06/92,
714,254,22/04/93,1/06/93,
715,254,6/03/92,1/06/92,
716,254,,4/06/91,
719,255,12/03/93,1/06/93,
720,255,13/03/92,1/06/92,
721,255,,4/06/91,
725,256,13/03/93,1/06/93,
726,256,26/03/92,1/06/92,
727,256,,4/06/91,
732,257,18/04/93,1/06/93,
733,257,4/03/92,1/06/92,
734,257,,4/06/91,
737,258,26/04/93,1/06/93,
738,258,7/03/92,1/06/92,
739,258,,4/06/91,
742,259,10/03/93,1/06/93,
743,259,,1/06/92,
746,260,,1/06/93,
748,261,19/03/93,1/06/93,
749,261,29/03/92,1/06/92,
750,261,,4/06/91,
752,262,19/03/93,1/06/93,
753,262,16/03/92,1/06/92,
754,262,9/04/91,1/06/91,
756,263,16/04/93,1/06/93,
757,263,19/03/92,1/06/92,
758,263,12/03/91,1/06/91,
762,264,19/03/93,1/06/93,
763,264,11/03/92,1/06/92,
764,264,,4/06/91,
767,265,20/03/93,1/06/93,
768,265,8/03/92,1/06/92,
769,265,,4/06/91,
771,266,12/05/93,1/06/93,
772,266,2/04/92,1/06/92,
775,267,23/03/93,1/06/93,
776,267,30/03/92,1/06/92,
777,267,,4/06/91,
781,268,18/03/93,1/06/93,
782,268,30/03/92,1/06/92,
783,268,,4/06/91,
786,269,,1/06/93,
789,270,1/04/93,1/06/93,
790,270,22/09/91,1/06/92,
791,270,,4/06/91,
795,271,17/04/93,1/06/93,
796,271,1/04/92,1/06/92,
797,271,15/04/91,1/06/91,
799,272,16/03/93,1/06/93,
800,272,,1/06/92,
803,273,12/03/93,1/06/93,
804,273,,1/06/92,
806,274,4/04/93,1/06/93,
