ServKey,CowKey,servDate,servType,Sire,Technician,Batch,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,HoursSinceObservedHeat,SemenType,SemenStorage,SemenUnitCost,TimeOfAI,SplitStraw,DateHeatDetected
341,123,4/06/91,AI,84264,DCBA,,,,,,,,,,,,
342,124,20/06/93,AI,,DCBA,,,,,,,,,,,,
343,124,9/07/93,AI,88225,DCBA,,,,,,,,,,,,
344,124,26/07/93,NM,,,,,,,,,,,,,,
345,124,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
346,124,11/06/92,AI,86279,JILL,,,,,,,,,,,,
347,124,3/07/92,AI,87203,DCBA,,,,,,,,,,,,
348,124,11/07/92,AI,88225,DCBA,,,,,,,,,,,,
349,124,28/07/92,NM,0,,,,,,,,,,,,,
350,124,18/08/92,NM,0,,,,,,,,,,,,,
351,124,13/06/91,AI,85203,,,,,,,,,,,,,
352,124,2/07/91,AI,83283,BOB,,,,,,,,,,,,
353,124,23/07/91,NM,,,,,,,,,,,,,,
354,125,2/06/92,AI,87208,DCBA,,,,,,,,,,,,
355,125,4/06/91,AI,85264,DCBA,,,,,,,,,,,,
356,126,8/06/93,AI,88241,DCBA,,,,,,,,,,,,
357,126,29/06/93,AI,88225,DCBA,,,,,,,,,,,,
358,126,9/06/92,AI,87233,DCBA,,,,,,,,,,,,
359,126,5/06/91,AI,86279,DCBA,,,,,,,,,,,,
360,127,4/06/93,AI,88241,DCBA,,,,,,,,,,,,
361,127,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
362,127,17/06/92,AI,87224,DCBA,,,,,,,,,,,,
363,127,5/06/91,AI,83283,,,,,,,,,,,,,
364,127,27/06/91,AI,85203,DCBA,,,,,,,,,,,,
365,128,11/06/93,AI,88225,DCBA,,,,,,,,,,,,
366,128,4/07/93,AI,88269,DCBA,,,,,,,,,,,,
367,128,26/07/93,NM,,,,,,,,,,,,,,
368,128,4/06/92,AI,87268,DCBA,,,,,,,,,,,,
369,128,6/06/91,AI,83283,,,,,,,,,,,,,
370,128,30/06/91,AI,85273,DCBA,,,,,,,,,,,,
371,129,4/06/93,AI,,DCBA,,,,,,,,,,,,
372,129,27/06/93,AI,88269,DCBA,,,,,,,,,,,,
373,129,14/07/93,NM,,,,,,,,,,,,,,
374,129,5/11/93,AI,87224,EDCB,,,,,,,,,,,,
375,129,4/06/92,AI,87208,DCBA,,,,,,,,,,,,
