"joinKey","cowKey","jsDate","jeDate","joinSire","jsComment","jeComment"
"468","278","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"471","279","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"472","279","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"473","280","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"475","280","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"477","281","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"480","282","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"482","283","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"485","284","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"490","286","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"493","287","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"495","288","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"496","288","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"499","289","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"500","289","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"502","290","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"505","292","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"507","293","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"508","293","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"511","294","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"513","295","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"514","295","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"516","296","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"521","298","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"524","299","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"525","299","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"528","300","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"533","302","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"534","302","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"538","304","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"539","304","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"546","308","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"547","308","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"550","309","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"551","309","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"557","312","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"558","312","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"605","466","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"606","466","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"610","469","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"611","469","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"614","470","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"615","470","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"620","474","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"621","474","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"627","481","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"628","481","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"632","485","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"635","486","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"638","487","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"639","487","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"642","488","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"645","490","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"646","490","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"651","493","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"652","493","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"655","494","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"658","495","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"659","495","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"662","496","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"663","496","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"666","497","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"671","501","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"674","502","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"675","502","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"678","503","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"681","504","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"684","506","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"685","506","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"688","507","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"693","509","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"694","509","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"701","513","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"704","514","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"709","517","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"710","517","1992-07-13 00:00:00","1992-08-24 00:00:00","","",""
"715","519","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"716","519","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"725","527","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"726","527","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"729","528","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"730","528","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"734","535","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"735","535","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"740","544","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"741","544","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"746","555","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"749","557","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"750","557","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"754","559","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"755","559","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"766","603","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"771","607","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"772","607","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"775","608","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"776","608","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"780","611","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"781","611","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"784","612","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
"785","612","1992-07-13 00:00:00","1992-08-24 00:00:00","000000","",""
"788","613","1993-07-12 00:00:00","1993-08-27 00:00:00","","",""
