ExitKey,CowKey,EventDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3
385,440,"07/01/11 00:00:00","SOLD","OTHERC",,
386,441,"07/01/11 00:00:00","SOLD","OTHERC",,
387,442,"07/01/11 00:00:00","SOLD","OTHERC",,
388,443,"07/01/11 00:00:00","SOLD","OTHERC",,
389,444,"07/01/11 00:00:00","SOLD","OTHERC",,
390,445,"08/17/11 00:00:00","DIED","G STAG",,
391,446,"07/01/11 00:00:00","SOLD","OTHERC",,
392,447,"07/01/11 00:00:00","SOLD","OTHERC",,
393,448,"07/01/11 00:00:00","SOLD","OTHERC",,
394,449,"07/01/11 00:00:00","SOLD","OTHERC",,
395,450,"07/01/11 00:00:00","SOLD","OTHERC",,
396,451,"07/01/11 00:00:00","SOLD","OTHERC",,
397,452,"07/01/11 00:00:00","SOLD","OTHERC",,
398,453,"07/01/11 00:00:00","SOLD","OTHERC",,
399,454,"07/01/11 00:00:00","SOLD",,,
400,455,"07/01/11 00:00:00","SOLD","OTHERC",,
401,456,"07/01/11 00:00:00","SOLD","OTHERC",,
402,457,"07/01/11 00:00:00","SOLD","OTHERC",,
403,458,"07/01/11 00:00:00","SOLD","OTHERC",,
404,459,"07/01/11 00:00:00","SOLD","OTHERC",,
405,460,"07/01/11 00:00:00","SOLD","OTHERC",,
406,461,"10/10/11 00:00:00","CULLED","FTC",,
407,462,"12/07/11 00:00:00","DIED","BLOATREM",,
408,464,"02/25/12 00:00:00","CULLED","FTC",,
409,468,"02/25/12 00:00:00","CULLED","FTC",,
410,471,"02/25/12 00:00:00","CULLED","FTC",,
411,474,"07/14/12 00:00:00","CULLED","LAMEREM","LOWPRD","OLDAGE"
412,481,"02/28/09 00:00:00","CULLED","FTC",,
413,485,"02/28/09 00:00:00","CULLED","HI CEL",,
414,487,"02/28/09 00:00:00","CULLED","LATECA",,
415,490,"02/25/12 00:00:00","CULLED","FTC",,
416,494,"02/25/12 00:00:00","CULLED","FTC",,
417,496,"02/28/09 00:00:00","CULLED",,,
418,497,"02/28/09 00:00:00","CULLED","FTC",,
419,501,"02/28/09 00:00:00","CULLED","NOTPREGNANT","LOWPRD",
420,503,"02/25/12 00:00:00","CULLED","FTC",,
421,506,"02/25/12 00:00:00","CULLED","FTC",,
422,509,"02/28/09 00:00:00","CULLED","ECZEMA",,
423,510,"02/28/09 00:00:00","DIED","JOHNES",,
424,515,"02/28/09 00:00:00","CULLED","FTC",,
425,517,"02/28/09 00:00:00","CULLED","HI CEL","OLDAGE",
426,518,"02/28/09 00:00:00","CULLED","FTC",,
427,519,"04/27/12 00:00:00","CULLED","OLDAGE",,
428,521,"02/28/09 00:00:00","CULLED","LOWPRD","LAMEREM",
429,527,"07/14/12 00:00:00","CULLED","LOWPRD","OLDAGE","HI CEL"
430,528,"02/28/09 00:00:00","CULLED","LOWPRD","OLDAGE","LATECA"
431,535,"02/27/12 00:00:00","DIED","INJUR",,
432,544,"02/28/09 00:00:00","CULLED","LOWPRD",,
433,555,"02/28/09 00:00:00","CULLED","NOTPREGNANT","HI CEL","LOWPRD"
434,557,"02/25/12 00:00:00","CULLED","FTC",,
435,558,"02/28/09 00:00:00","CULLED","LOWPRD","BADTYPE",
436,560,"02/28/09 00:00:00","CULLED","HI CEL",,
437,562,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
438,567,"04/27/12 00:00:00","CULLED","FTC",,
439,575,"04/27/12 00:00:00","CULLED","FTC",,
440,578,"05/26/12 00:00:00","CULLED","FTC",,
441,582,"09/10/12 00:00:00","DIED","UNKNWN",,
442,583,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
443,584,"05/12/12 00:00:00","CULLED","LOWPRD",,
444,585,"02/28/09 00:00:00","DIED","G STAG",,
445,586,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
446,587,"04/27/12 00:00:00","CULLED","FTC",,
447,594,"04/27/12 00:00:00","CULLED","FTC",,
448,595,"07/14/12 00:00:00","CULLED","LAMEREM",,
449,597,"02/28/09 00:00:00","DIED","G STAG",,
450,603,"02/28/09 00:00:00","CULLED","LOWPRD","UDR BD",
451,606,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
452,607,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
453,608,"02/28/09 00:00:00","CULLED","LOWPRD","HI CEL",
454,611,"02/28/09 00:00:00","DIED","UNKNWN",,
455,612,"02/28/09 00:00:00","DIED","UNKNWN",,
456,613,"02/25/12 00:00:00","CULLED","FTC",,
457,614,"05/12/12 00:00:00","CULLED","MASTREM","LOWPRD",
458,616,"02/28/09 00:00:00","DIED","SALMONELLA",,
459,618,"02/28/09 00:00:00","DIED","UNKNWN",,
460,623,"05/09/12 00:00:00","SOLD","FTC",,
461,628,"07/14/12 00:00:00","CULLED","LOWPRD","REPDIS","HI CEL"
462,630,"02/28/09 00:00:00","DIED","UNKNWN",,
463,637,"02/25/12 00:00:00","CULLED","FTC",,
464,699,"05/26/12 00:00:00","CULLED","FTC",,
465,703,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
466,708,"02/28/09 00:00:00","CULLED","NOTPREGNANT",,
