CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
504,638,10/08/1998,NORMAL,MINOR,0,,,,,
505,639,2/09/1997,NORMAL,,0,,,,,
506,640,13/09/1997,NORMAL,,0,,,,,
507,641,9/08/1998,NORMAL,MINOR,0,,,,,
508,642,3/08/1998,NORMAL,NONE,0,,,,,
509,643,29/09/1997,NORMAL,,0,,,,,
510,644,7/08/1998,NORMAL,NONE,0,,,,,
511,645,10/08/1997,NORMAL,,0,,,,,
512,646,4/08/1998,NORMAL,MINOR,0,,,,,
513,647,29/08/1997,NORMAL,,0,,,,,
514,648,13/08/1997,NORMAL,,0,,,,,
515,649,5/08/1998,NORMAL,NONE,0,,,,,
516,650,11/08/1998,NORMAL,NONE,0,,,,,
517,651,13/08/1998,NORMAL,NONE,0,,,,,
518,652,25/09/1997,NORMAL,,0,,,,,
519,653,10/08/1998,NORMAL,,0,,,,,
520,654,13/08/1998,NORMAL,MINOR,0,,,,,
521,655,5/08/1998,NORMAL,NONE,0,,,,,
522,656,6/08/1998,NORMAL,NONE,0,,,,,
523,657,5/09/1997,NORMAL,,0,,,,,
524,658,28/08/1997,NORMAL,,0,,,,,
525,659,19/08/1997,NORMAL,,0,,,,,
526,660,10/08/1998,NORMAL,NONE,0,,,,,
527,661,23/08/1997,NORMAL,,0,,,,,
528,662,13/08/1998,NORMAL,NONE,0,,,,,
529,663,30/07/1997,NORMAL,,0,,,,,
530,664,29/07/1997,NORMAL,,0,,,,,
531,665,16/08/1997,NORMAL,,0,,,,,
532,633,14/08/1998,NORMAL,NONE,0,,,,,
533,664,15/08/1998,NORMAL,,0,,,,,
534,62,16/08/1998,NORMAL,NONE,0,,,,,
535,661,17/08/1998,NORMAL,,0,,,,,
536,488,17/08/1998,NORMAL,,0,,,,,
537,631,18/08/1998,NORMAL,,0,,,,,
538,628,20/08/1998,NORMAL,,0,,,,,
539,663,20/08/1998,NORMAL,,0,,,,,
540,658,21/08/1998,NORMAL,,0,,,,,
541,19,23/08/1998,NORMAL,,0,,,,,
542,47,23/08/1998,NORMAL,,0,,,,,
543,10,24/08/1998,NORMAL,,0,,,,,
544,645,30/08/1998,NORMAL,,0,,,,,
545,647,31/08/1998,NORMAL,,0,,,,,
546,635,3/09/1998,NORMAL,,0,,,,,
547,49,13/08/1998,,NONE,0,,,,,
548,41,10/08/1998,,MINOR,0,,,,,
549,56,3/08/1998,,NONE,0,,,,,
550,43,1/08/1998,,NONE,0,,,,,
551,24,3/08/1998,,NONE,0,,,,,
552,46,6/08/1998,,NONE,0,,,,,
553,27,12/08/1998,,NONE,0,,,,,
554,59,9/08/1998,,NONE,0,,,,,
555,68,7/08/1998,,MINOR,0,,,,,
556,26,4/08/1998,,NONE,0,,,,,
557,23,5/08/1998,,NONE,0,,,,,
558,65,11/08/1998,,NONE,0,,,,,
559,32,3/08/1998,,NONE,0,,,,,
560,61,26/07/1998,,NONE,0,,,,,
561,40,5/08/1998,,NONE,0,,,,,
