CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,TechnicianID,ObservedFM,AbortionCause,CalvingEase,LactNo
336,114,2012-06-25,NORMAL,NONE,0,,,,,,,1
337,114,2014-11-19,NORMAL,NONE,0,,,,,,,3
338,114,2015-12-08,NORMAL,NONE,0,,,,,,,4
339,114,2016-11-18,NORMAL,NONE,0,,,,,,,2
340,115,2013-03-01,NORMAL,NONE,0,,,,,,,2
341,115,2015-04-04,NORMAL,NONE,0,,,,,,,4
342,115,2016-03-03,NORMAL,NONE,0,,,,,,,5
343,116,2012-04-14,NORMAL,NONE,0,,,,,,,1
344,116,2014-12-02,NORMAL,NONE,0,,,,,,,3
345,116,2015-12-18,NORMAL,NONE,0,,,,,,,4
346,117,2013-03-19,NORMAL,NONE,0,,,,,,,2
347,117,2015-04-06,NORMAL,NONE,0,,,,,,,4
348,117,2016-03-03,NORMAL,NONE,0,,,,,,,5
349,118,2013-03-02,NORMAL,NONE,0,,,,,,,2
350,118,2015-04-03,NORMAL,NONE,0,,,,,,,4
351,118,2016-03-03,NORMAL,NONE,0,,,,,,,5
352,119,2012-08-31,NORMAL,NONE,0,,,,,,,2
353,119,2014-08-30,NORMAL,NONE,0,,,,,,,4
356,120,2013-03-12,NORMAL,NONE,0,,,,,,,2
357,120,2015-04-14,NORMAL,NONE,0,,,,,,,4
358,120,2016-03-15,NORMAL,NONE,0,,,,,,,5
359,121,2013-03-07,NORMAL,NONE,0,,,,,,,2
360,121,2015-07-10,NORMAL,NONE,0,,,,,,,4
361,122,2013-02-26,NORMAL,NONE,0,,,,,,,2
362,122,2015-07-16,NORMAL,NONE,0,,,,,,,4
363,122,2016-06-08,NORMAL,NONE,0,,,,,,,3
364,123,2012-09-15,NORMAL,NONE,0,,,,,,,2
365,123,2015-07-15,NORMAL,NONE,0,,,,,,,5
366,123,2016-06-09,NORMAL,NONE,0,,,,,,,3
367,124,2013-03-10,NORMAL,NONE,0,,,,,,,2
368,124,2015-04-12,NORMAL,NONE,0,,,,,,,4
369,124,2016-03-15,NORMAL,NONE,0,,,,,,,5
370,125,2013-03-07,NORMAL,NONE,0,,,,,,,2
371,125,2015-04-03,NORMAL,NONE,0,,,,,,,4
372,125,2016-03-08,NORMAL,NONE,0,,,,,,,5
373,126,2013-03-05,NORMAL,NONE,0,,,,,,,2
374,126,2015-04-04,NORMAL,NONE,0,,,,,,,4
375,126,2016-06-08,NORMAL,NONE,0,,,,,,,3
376,127,2013-02-28,NORMAL,NONE,0,,,,,,,2
377,127,2015-04-08,NORMAL,NONE,0,,,,,,,4
378,127,2016-03-09,NORMAL,NONE,0,,,,,,,5
379,128,2013-06-15,NORMAL,NONE,0,,,,,,,2
380,128,2015-07-02,NORMAL,NONE,0,,,,,,,4
381,129,2013-03-01,NORMAL,NONE,0,,,,,,,2
382,129,2015-07-09,NORMAL,NONE,0,,,,,,,4
383,129,2016-06-06,NORMAL,NONE,0,,,,,,,3
384,130,2013-03-01,NORMAL,NONE,0,,,,,,,2
385,130,2015-04-05,NORMAL,NONE,0,,,,,,,4
386,130,2016-03-03,NORMAL,NONE,0,,,,,,,5
387,131,2013-03-14,NORMAL,NONE,0,,,,,,,2
388,131,2015-04-14,NORMAL,NONE,0,,,,,,,4
389,131,2016-03-19,NORMAL,NONE,0,,,,,,,5
390,132,2012-09-05,NORMAL,NONE,0,,,,,,,1
391,132,2014-09-08,NORMAL,NONE,0,,,,,,,3
394,132,2016-11-17,NORMAL,NONE,0,,,,,,,3
395,133,2012-11-20,NORMAL,NONE,0,,,,,,,1
396,133,2014-11-22,NORMAL,NONE,0,,,,,,,3
397,133,2015-11-30,NORMAL,NONE,0,,,,,,,4
398,134,2013-02-22,NORMAL,NONE,0,,,,,,,2
399,134,2014-08-20,NORMAL,NONE,0,,,,,,,3
400,134,2015-09-13,NORMAL,NONE,0,,,,,,,4
401,134,2016-11-14,NORMAL,NONE,0,,,,,,,3
402,135,2012-04-14,NORMAL,NONE,0,,,,,,,1
403,135,2015-06-04,NORMAL,NONE,0,,,,,,,3
404,135,2016-06-30,NORMAL,NONE,0,,,,,,,2
405,136,2013-03-12,NORMAL,NONE,0,,,,,,,2
406,136,2015-07-07,NORMAL,NONE,0,,,,,,,4
407,137,2012-11-10,NORMAL,NONE,0,,,,,,,1
408,137,2015-07-10,NORMAL,NONE,0,,,,,,,3
409,137,2016-06-05,NORMAL,NONE,0,,,,,,,2
410,138,2013-03-01,NORMAL,NONE,0,,,,,,,2
411,138,2014-03-05,NORMAL,NONE,0,,,,,,,3
412,138,2015-11-17,NORMAL,NONE,0,,,,,,,4
413,138,2016-11-26,NORMAL,NONE,0,,,,,,,3
414,139,2012-11-05,NORMAL,NONE,0,,,,,,,1
415,139,2015-07-10,NORMAL,NONE,0,,,,,,,3
416,139,2016-06-11,NORMAL,NONE,0,,,,,,,2
417,140,2013-03-18,NORMAL,NONE,0,,,,,,,2
418,140,2015-06-21,NORMAL,NONE,0,,,,,,,4
419,141,2012-11-13,NORMAL,NONE,0,,,,,,,1
420,141,2013-11-24,NORMAL,NONE,0,,,,,,,2
421,141,2015-09-09,NORMAL,NONE,0,,,,,,,3
422,142,2013-03-01,NORMAL,NONE,0,,,,,,,2
423,142,2015-04-06,NORMAL,NONE,0,,,,,,,4
424,142,2016-02-28,NORMAL,NONE,0,,,,,,,5
425,143,2013-03-06,NORMAL,NONE,0,,,,,,,1
426,143,2015-07-08,NORMAL,NONE,0,,,,,,,3
427,143,2016-06-10,NORMAL,NONE,0,,,,,,,2
428,144,2012-04-01,NORMAL,NONE,0,,,,,,,1
429,144,2014-10-01,NORMAL,NONE,0,,,,,,,3
432,144,2016-09-11,NORMAL,NONE,0,,,,,,,3
433,145,2013-03-01,NORMAL,NONE,0,,,,,,,2
434,145,2015-07-03,NORMAL,NONE,0,,,,,,,5
435,145,2016-06-11,NORMAL,NONE,0,,,,,,,3
436,146,2012-11-06,NORMAL,NONE,0,,,,,,,2
437,146,2014-11-15,NORMAL,NONE,0,,,,,,,5
438,146,2015-11-15,NORMAL,NONE,0,,,,,,,6
439,147,2012-03-27,NORMAL,NONE,0,,,,,,,1
440,147,2014-09-03,NORMAL,NONE,0,,,,,,,3
443,147,2016-09-13,NORMAL,NONE,0,,,,,,,3
444,148,2013-03-11,NORMAL,NONE,0,,,,,,,2
445,148,2015-04-07,NORMAL,NONE,0,,,,,,,4
446,148,2016-03-10,NORMAL,NONE,0,,,,,,,5
447,149,2013-03-01,NORMAL,NONE,0,,,,,,,2
448,149,2015-04-07,NORMAL,NONE,0,,,,,,,4
449,149,2016-03-10,NORMAL,NONE,0,,,,,,,5
450,150,2013-03-01,NORMAL,NONE,0,,,,,,,3
451,150,2015-04-07,NORMAL,NONE,0,,,,,,,5
452,150,2015-09-20,NORMAL,NONE,0,,,,,,,6
453,151,2012-06-27,NORMAL,NONE,0,,,,,,,1
454,151,2015-07-03,NORMAL,NONE,0,,,,,,,4
455,151,2016-06-22,NORMAL,NONE,0,,,,,,,2
456,152,2013-03-01,NORMAL,NONE,0,,,,,,,2
457,152,2015-04-07,NORMAL,NONE,0,,,,,,,4
458,152,2016-03-04,NORMAL,NONE,0,,,,,,,5
459,153,2013-03-07,NORMAL,NONE,0,,,,,,,2
460,153,2014-03-31,NORMAL,NONE,0,,,,,,,3
461,153,2015-11-22,NORMAL,NONE,0,,,,,,,4
462,153,2016-11-23,NORMAL,NONE,0,,,,,,,3
463,154,2013-02-28,NORMAL,NONE,0,,,,,,,2
464,154,2015-07-13,NORMAL,NONE,0,,,,,,,4
465,154,2016-06-10,NORMAL,NONE,0,,,,,,,3
466,155,2013-02-22,NORMAL,NONE,0,,,,,,,2
