ProdKey,CowKey,testDate,LTDDate,HTFatPC,HTProtPC,HTLactPC,HTLitreAM,HTLitrePM,HTLitreTot,LtdLitre,LtdFatKg,LtdProtKg,LtdLactKg,StdLacDays,SCC,LW,LWRel,PayPW,PayPWRel,AbCode,Assessed,Withheld,comment,LtdDays,MilkPI,FatPI,ProteinPI,LtdVol305,LtdVolEx,LtdFatKg305,LtdFatKgEx,LtdProtKg305,LtdProtKgEx,LtdLactKg305,LtdLactKgEx,DL_LTDDate,DL_LtdLitre,DL_LtdFatKg,DL_LtdProtKg,DL_LtdLactKg,DL_LtdDays,BSTFlag
103,6217,20/01/2016,20/01/2016,,,,,,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
104,4132,20/01/2016,20/01/2016,,,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
105,4133,20/01/2016,20/01/2016,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
106,4141,20/01/2016,20/01/2016,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
107,4147,20/01/2016,20/01/2016,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
108,4149,20/01/2016,20/01/2016,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
109,4150,20/01/2016,20/01/2016,,,,,,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
110,4153,20/01/2016,20/01/2016,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
111,4159,20/01/2016,20/01/2016,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
112,4164,20/01/2016,20/01/2016,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
113,99,20/01/2016,20/01/2016,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
114,4166,20/01/2016,20/01/2016,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
115,4171,20/01/2016,20/01/2016,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
116,4173,20/01/2016,20/01/2016,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
117,4185,20/01/2016,20/01/2016,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
118,4196,20/01/2016,20/01/2016,,,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
119,4197,20/01/2016,20/01/2016,,,,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
120,4199,20/01/2016,20/01/2016,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
121,4201,20/01/2016,20/01/2016,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
122,4212,20/01/2016,20/01/2016,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
123,4213,20/01/2016,20/01/2016,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
124,4215,20/01/2016,20/01/2016,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
125,4225,20/01/2016,20/01/2016,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
126,4227,20/01/2016,20/01/2016,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
127,4236,20/01/2016,20/01/2016,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
